Class,Method,Inferred Type,Original Type,Source Code,Comments
QuestionnairesController,index,() -> (Array<String> or String),() -> (Array<String> or String),"def index
    p = person_signed_in? ? current_person : nil
    per_page = 12
    conditions = []
    condition_vars = {}
    if params[:title] and params[:title] != ''
      conditions.push(""lower(title) like :title"")
      condition_vars[:title] =""%#{params[:title].downcase}%""
    end
    
    if !params[:tag].blank?
      conditions << ""tags.name = :tag_name""
      condition_vars[:tag_name] = params[:tag]
    end
        
    questionnaire_scope = Questionnaire.accessible_by(current_ability).
      order(id: :desc).
      group(""questionnaires.id"").
      includes(:tags, questionnaire_permissions: :person).
      references(:tags)
    questionnaire_scope = questionnaire_scope.where(conditions.join("" and ""), condition_vars) if conditions.any?
    @questionnaires = questionnaire_scope.paginate(page: params[:page] || 1, per_page: per_page)
    
    @rss_url = questionnaires_url(:format => ""rss"")

    respond_to do |format|
      format.html { }
      format.rss  { render :layout => false }
    end
  end","# GET /questionnaires
# GET /questionnaires.xml
"
QuestionnairesController,show,() -> (Array<String> or String),() -> (Array<String> or String),"def show
    @questionnaire = Questionnaire.find(params[:id])
    authorize! :view_edit_pages, @questionnaire
    attributes = params[:attributes] || @questionnaire.attribute_names
    attributes.delete ""rss_secret""

    respond_to do |format|
      format.html {}
      format.xml do
        if person_signed_in? and current_person.can?(:edit, @questionnaire)
          headers[""Content-Disposition""] = ""attachment; filename=\""#{@questionnaire.title}.xml\""""
          render :xml => @questionnaire.to_xml
        else
          render :text => ""You're not allowed to edit this questionnaire."", :status => :forbidden
        end
      end
      format.json do
        if person_signed_in? and current_person.can?(:edit, @questionnaire)
          render :json => @questionnaire.to_json(:only => attributes)
        else
          render :text => ""You're not allowed to edit this questionnaire."", :status => :forbidden
        end
      end
    end
  end","# GET /questionnaires/1
# GET /questionnaires/1.xml
"
AnswerController,get_questionnaire,() -> Questionnaire,() -> Questionnaire,"def get_questionnaire
    @questionnaire = Questionnaire.find params[:id]
  end",""
AnswerController,save_answers,() -> String,() -> String,"def save_answers
    @resp = Response.find(session[""response_#{params[:id]}""])
    @page = @resp.questionnaire.pages[params[:current_page].to_i - 1]

    @page.questions.each do |question|
      if question.kind_of? Questions::Field
        ans = @resp.answer_for_question(question)
        if answer_given(question.id)
          if ans.nil?
            ans = Answer.new :question_id => question.id, :response_id => @resp.id
          end
          if question.kind_of?(Questions::CheckBoxField) && params[:question][question.id.to_s].to_s == '0'
            ans.value = nil
          else
            ans.value = params[:question][question.id.to_s]
          end

          ans.save
        else
          # No answer provided
          if not ans.nil?
            ans.destroy
          end
        end
      end
    end

    if params[:commit] =~ /later/i
      redirect_to :action => ""save_session"", :id => @resp.questionnaire.id, :current_page => params[:current_page]
      return
    else
      offset = if params[:commit] =~ /[<>]/
        params[:commit] =~ />/ ? 1 : -1
      else
        0
      end
      if offset != -1
        errors = validate_answers(@resp, @page)
        if errors.length > 0
          @error_messages = errors
          @resp.reload
          render :action => ""index"", :id => @resp.questionnaire.id, :page => params[:current_page]
          return
        end
      end
      if offset == 0
        @resp.submitted = true
        @resp.submitted_at = Time.now
        @resp.save

        ## MKCHANGE: changed below because `notify_on_response_submit` comes from Rails scope
        #@questionnaire.email_notifications.notify_on_response_submit.includes(:person).each do |notification|
        @questionnaire.email_notifications.where(notify_on_response_submit: true).includes(:person).each do |notification|
          next unless notification.try(:person).try(:email).present?
          NotificationMailer.response_submitted(@resp, notification.person).deliver_later
        end

        redirect_to :action => ""save_session"", :id => @resp.questionnaire.id, :current_page => 1
      else
        new_page = params[:current_page].to_i + offset
        @resp.saved_page = new_page
        @resp.save
        redirect_to :action => ""index"", :id => @resp.questionnaire.id, :page => new_page
      end
    end
  end",""
AnswerController,preview,() -> Array<String>,() -> Array<String>,"def preview
    @questionnaire = Questionnaire.includes(:questionnaire_permissions, :pages).find(params[:id])

    if @questionnaire.pages.size > 0
      @page = @questionnaire.pages[(params[:page] || 1).to_i - 1]

      @resp = @questionnaire.responses.build
      @previewing = true
      render :action => ""index""
    else
      render :action => ""prompt""
    end
  end",""
AnswerController,questionnaire_closed,() -> Questionnaire,() -> Questionnaire,"def questionnaire_closed
    @questionnaire = Questionnaire.find(params[:id])
  end",""
AnswerController,prompt,() -> Array<Response>,() -> Array<Response>,"def prompt
    @all_responses = []
    @responses = []
    if person_signed_in?
      @all_responses = @questionnaire.responses.where(person_id: current_person.id).to_a
      if @questionnaire.allow_finish_later
        @responses += @all_responses.select { |resp| not resp.submitted }
      end
      if @questionnaire.allow_amend_response
        @responses += @all_responses.select { |resp| resp.submitted }
      end
    end
  end",""
AnswerController,resume,() -> String,() -> String,"def resume
    @resp = Response.find(params[:id])
    if @resp.person != current_person
      raise ""That response does not belong to you.  Either log in as a different person, or start a new response.""
    else
      # If this is an amended response, we want to retract the submitted response set.
      if @resp.submitted
        if not @resp.questionnaire.allow_amend_response
          raise ""This questionnaire does not allow you to amend submitted responses.""
        end
        @resp.submitted = false
        @resp.submitted_at = nil
        @resp.save
      else
        if not @resp.questionnaire.allow_finish_later
          raise ""This questionnaire does not allow you to resume a session.""
        end
      end

      qid = @resp.questionnaire.id
      session[""response_#{qid}""] = @resp.id
      redirect_to :action => 'index', :id => qid, :page => @resp[:saved_page]
    end
  rescue
    flash[:error_messages] = [$!.to_s]
    redirect_to :action => 'prompt', :id => @resp.questionnaire.id
  end",""
ResponsesController,get_email_notification,() -> EmailNotification,() -> EmailNotification,"def get_email_notification
    @email_notification = @questionnaire.email_notifications.where(person_id: current_person.id).first
  end",""
RootController,index,() -> String,() -> %any,"def index
    redirect_to Journey::SiteOptions.site_root(person_signed_in?), :status => 307
  end",""
ApplicationController,current_ability,() -> Ability,() -> Ability,"def current_ability
    Ability.new(current_person)
  end",""
AnswerController,answer_given,(Integer) -> (false or true),(Integer) -> (false or true),"def answer_given(question_id)
    return (params[:question] and not params[:question][question_id.to_s].blank? and
      params[:question][question_id.to_s].length > 0)
  end",""
AnswerController,validate_answers,"({ AnswerController#validate_answers arg: resp }, Page) -> Array<String>","(Response, Page) -> Array<String>","def validate_answers(resp, page)
    errors = []
    page.questions.each do |question|
      if question.kind_of? Questions::Field and question.required
        if not answer_given(question.id)
            errors << ""You didn't answer the question \""#{question.caption}\"", which is required.""
        end
      end
    end
    return errors
  end",""
